Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary,salary_min,salary_max,salary_avg,salary_type,salary_standardized,state,standardized_title,education_level,experience_level,job_level
Software Developer,Oracle,United States,"Computer science, TCP, Cloud infrastructure, Azure, Oracle","bachelor, degree, education, associate",100 years,,,,,,unknown,,United States,Software Developer,2,4,
Sr Graphics Developer,Leidos,"Bethesda, MD","Adobe Photoshop, Computer science, Signal processing, Kubernetes, C++","bachelor, degree, education, associate",100 years,,$126K - $228K (Employer est.),126000.0,228000.0,177000.0,yearly,177000.0,MD,Other Engineering,2,4,
Software Developer,Universal Music Group,"Los Angeles, CA","CI/CD, Azure, Go, Node.js, CSS","certification, education","position, years",,$81K - $127K (Glassdoor est.),81000.0,127000.0,104000.0,yearly,104000.0,CA,Software Developer,,,
Sr Principal Embedded Security Software Eng-Gskit,Raytheon,"Tucson, AZ","Management, Kanban, FPGA, Configuration management, C++","bachelor, degree, education, associate","100 years, 10 years",,$124K - $250K (Employer est.),124000.0,250000.0,187000.0,yearly,187000.0,AZ,Other,2,4,
Software Engineer,DonorView,"Marlborough, MA","ASP.NET, MVC, C#, Microsoft SQL Server, .NET",,,,$85K (Employer est.),85000.0,85000.0,85000.0,yearly,85000.0,MA,Software Engineer,,,
"Software Developer, II",IB Systems,"Farmington Hills, MI","Oracle, CSS, XML, C#, Microsoft SQL Server",,,,$115K (Employer est.),115000.0,115000.0,115000.0,yearly,115000.0,MI,Software Developer,,,
Software Developer (Hybrid),Hynes & Khater,"Houston, TX","Azure, Oracle, DevOps, C#, .NET","degree, education, bachelor","5+ years, 3+ years",,$73K - $112K (Glassdoor est.),73000.0,112000.0,92500.0,yearly,92500.0,TX,Software Developer,2,2,
Software Developer,Service Oriented Solutions,Indiana,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Oracle, Node.js",education,few years,,,,,,unknown,,IN,Software Developer,,,
Junior Python Developer,CS Soft Solutions (I) PVT.LTD.,"Hartford, CT","Database management, Django, Python",,0-3+ years,Junior level,$85K - $102K (Employer est.),85000.0,102000.0,93500.0,yearly,93500.0,CT,Other Engineering,,2,1
Software Developer,AMSYS Innovative Solutions LLC,Texas,"Performance tuning, Oracle, SQL, Agile, JSON",,,,,,,,unknown,,TX,Software Developer,,,
Access Developer,Express Identification Products,"San Diego, CA","Microsoft Access, Database development, Microsoft SQL Server, SQL, Analysis skills",,3 years,,$50.00 - $60.00 Per Hour (Employer est.),50.0,60.0,55.0,hourly,114400.0,CA,Other Engineering,,2,
Software Developer,WinShape Foundation,"Rome, GA","CI/CD, Azure, CSS, React, C#","degree, bachelor",,,$77K - $108K (Glassdoor est.),77000.0,108000.0,92500.0,yearly,92500.0,GA,Software Developer,2,,
Full Stack Developer- AI Trainer,DataAnnotation,"Huntsville, AL","Writing skills, C#, English, SQL, C++","degree, bachelor",,,$40.00 Per Hour (Employer est.),40.0,40.0,40.0,hourly,83200.0,AL,Full Stack Developer,2,,
Software Developer,AllianceBernstein,"Nashville, TN","ASP.NET, Computer science, CSS, React, C#","master, degree, bachelor",5+ years,,$77K - $121K (Glassdoor est.),77000.0,121000.0,99000.0,yearly,99000.0,TN,Software Developer,3,2,
Co-Op Software -Summer/Fall 2025,The Raymond Corporation,"Greene, NY","C, SDLC","bachelor, degree, associate, graduate",100 years,,$19.50 - $28.00 Per Hour (Employer est.),19.5,28.0,23.75,hourly,49400.0,NY,Other,2,4,
Senior Software Developer,Old Dominion University Research Foundation,"Suffolk, VA","R, Research, Supervising experience, Project management, JavaScript","m.s., education, undergraduate, degree, graduate, associate",5+ years,Senior level,$80K - $95K (Employer est.),80000.0,95000.0,87500.0,yearly,87500.0,VA,Software Developer,3,2,3
Software Engineer,QUANTUM DESIGN INC,"San Diego, CA","Computer science, Data analysis skills, Git, Windows, Spectroscopy","master, degree, education, bachelor",3–4 years,,$140K - $160K (Employer est.),140000.0,160000.0,150000.0,yearly,150000.0,CA,Software Engineer,3,2,
SOFTWARE ENGINEERS,Stacklogy,"Temple, TX","CI/CD, Cloud infrastructure, Cloud architecture","master, degree",,,$84K - $124K (Glassdoor est.),84000.0,124000.0,104000.0,yearly,104000.0,TX,Software Engineer,3,,
Senior CEMA Software Engineer,Leidos,"Lawton, OK","CI/CD, DevOps, Git, C++, Ubuntu","master, degree, education, bachelor","6+ years, 2 years, 8+ years",Senior level,$105K - $189K (Employer est.),105000.0,189000.0,147000.0,yearly,147000.0,OK,Software Engineer,3,3,3
Software Developer,Leidos,"Chantilly, VA","Jira, Gradle, Node.js, React, Relational databases","master, degree, education, bachelor","6 years, 4+ years, 2+ years",,$85K - $154K (Employer est.),85000.0,154000.0,119500.0,yearly,119500.0,VA,Software Developer,3,3,
